ToA,coarse_time,fine_time,Local_Tube_Number,Tube_Number,Tube_Layer,ChamberId,Chamber_iEta,Station_Type,tube_z,tube_rho,drift_time,event,muonFixedId,csm,mezz,channel,t0,TOF
9913,309,25,28,190,6,1,6,0,-6295,5101,150.50238037109375,9,1064731,1,8,11,542.5,27.028846740722656
9975,311,23,14,14,6,1,1,0,-735,5101,8.77764892578125,115,3686157,0,4,8,542.5,17.191110610961914
9979,311,27,14,176,0,1,6,0,-5890,4770,203.80889892578125,9,1063949,1,5,18,542.5,25.284822463989258
9987,312,3,12,12,1,1,1,0,-675,4796,19.18505859375,115,3685515,0,3,17,542.5,16.158681869506836
10000,312,16,43,91,5,5,2,2,-3606,9725,585.9004516601562,0,70270762,5,10,21,542.5,34.59957504272461
10000,312,16,23,23,3,3,1,1,-1065,7312,20.850341796875,115,37240342,2,4,2,542.5,24.649635314941406
10001,312,17,18,18,3,5,1,2,-1395,9673,13.6798095703125,115,70794769,4,4,3,542.5,32.6014518737793
10018,313,2,12,12,2,1,1,0,-690,4822,43.31085205078125,115,3685643,0,3,11,542.5,16.251625061035156
10024,313,8,30,270,1,3,6,1,-8591,6939,227.412353515625,9,34618525,3,7,8,542.5,36.83762741088867
10049,314,1,50,370,4,5,6,2,-12071,9699,232.12646484375,9,68173489,5,12,11,542.5,51.654808044433594
10051,314,3,33,353,1,5,6,2,-11561,9300,235.850341796875,9,68172960,5,9,9,542.5,49.49338150024414
10068,314,20,26,188,4,1,6,0,-6235,5048,271.861083984375,9,1064473,1,8,20,542.5,26.76392364501953
10111,315,31,21,21,0,3,1,1,-1005,6913,108.91522216796875,115,37239828,2,5,6,542.5,23.30353546142578
10118,316,6,25,187,4,1,6,0,-6205,5048,311.0013427734375,9,1064472,1,8,22,542.5,26.686134338378906
10141,316,29,12,12,0,1,1,0,-690,4770,139.57635498046875,115,3685387,0,3,23,542.5,16.079866409301758
10142,316,30,16,16,1,5,1,2,-1350,9300,125.089111328125,115,70794383,4,3,10,542.5,31.34840202331543
10154,317,10,18,18,5,5,1,2,-1395,9725,133.039306640625,115,70795025,4,4,19,542.5,32.77321243286133
10154,317,10,21,21,1,3,1,1,-1020,6939,142.4158935546875,115,37239956,2,5,14,542.5,23.396635055541992
10159,317,15,16,16,0,5,1,2,-1335,9274,138.46337890625,115,70794255,4,3,2,542.5,31.255361557006836
10171,317,27,34,354,1,5,6,2,-11591,9300,329.52227783203125,9,68172961,5,9,11,542.5,49.57148361206055
10173,317,29,51,371,4,5,6,2,-12101,9699,328.92327880859375,9,68173490,5,12,13,542.5,51.73294448852539
10173,317,29,29,269,1,3,6,1,-8560,6939,343.896484375,9,34618524,3,7,14,542.5,36.75974655151367
10184,318,8,27,189,6,1,6,0,-6265,5101,362.2989501953125,9,1064730,1,8,6,542.5,26.95107650756836
10215,319,7,14,14,4,1,1,0,-735,5048,196.44940185546875,115,3685901,0,4,20,542.5,17.019376754760742
10217,319,9,13,175,0,1,6,0,-5860,4770,389.82421875,9,1063948,1,5,19,542.5,25.207048416137695
10246,320,6,28,190,5,1,6,0,-6310,5075,410.6741943359375,9,1064603,1,8,17,542.5,27.013328552246094
10270,320,30,23,23,4,3,1,1,-1080,7338,231.69476318359375,115,37240470,2,4,10,542.5,24.74274444580078
10284,321,12,13,13,3,1,1,0,-705,4848,251.03033447265625,115,3685772,0,5,1,542.5,16.344654083251953
10388,324,20,14,14,7,1,1,0,-750,5127,331.3408203125,115,3686285,0,4,2,542.5,17.2841739654541
10395,324,27,23,53,4,1,2,0,-1925,5048,11.06866455078125,50,3161622,1,6,21,542.5,18.025110244750977
10409,325,9,23,23,5,3,1,1,-1065,7364,340.20989990234375,115,37240598,2,4,18,542.5,24.821361541748047
10415,325,15,19,49,0,1,2,0,-1820,4770,27.68524169921875,50,3161106,1,7,19,542.5,17.033504486083984
10428,325,28,45,285,3,3,6,1,-9026,7312,541.1253662109375,9,34618924,3,10,6,542.5,38.74966049194336
10443,326,11,47,287,4,3,6,1,-9101,7338,552.5947265625,9,34619054,3,10,10,542.5,38.99899673461914
10453,326,21,18,180,3,1,6,0,-5995,4848,573.6851196289062,9,1064337,1,5,5,542.5,25.721139907836914
10482,327,18,20,50,1,1,2,0,-1835,4796,79.9300537109375,50,3161235,1,7,12,542.5,17.13243293762207
10487,327,23,15,177,2,1,6,0,-5920,4822,600.4967651367188,9,1064206,1,5,8,542.5,25.47199249267578
10493,327,29,27,189,5,1,6,0,-6280,5075,603.720947265625,9,1064602,1,8,12,542.5,26.93532943725586
10496,328,0,13,13,5,1,1,0,-720,5075,415.90185546875,115,3686028,0,4,16,542.5,17.098127365112305
10512,328,16,43,91,5,5,2,2,-3606,9725,85.90045166015625,50,70270762,5,10,21,542.5,34.59957504272461
