 BCID  ToA     nTC  TC_sent  TC_id  Eta              Phi            pT_thr  Charge  Coincidence  z_RPC0  z_RPC1  z_RPC2  z_RPC3  event  
 2792  91488   1    1        0      0.330471783876   931.635742188  20      1       5            1716    2298    2536    3327    23697  
 2819  92352   1    1        0      0.330955207348   703.150817871  20      1       5            1723    2298    2536    3361    11755  
 2828  92640   1    1        0      0.111512966454   576.05871582   20      0       5            581     757     810     994     2447   
 2829  92672   1    1        0      0.804194092751   571.830322266  20      0       5            4556    6085    6643    8826    12493  
 2836  92896   1    1        0      0.494256526232   622.213012695  20      1       5            2629    3505    3892    5156    18804  
 2865  93824   1    1        0      0.942583620548   871.836181641  20      0       5            5556    7422    8140    10687   11322  
 2900  94944   1    1        0      1.04791224003    876.229980469  20      0       5            6372    8436    9320    12079   10193  
 2909  95232   1    1        0      0.111464157701   643.344421387  20      0       5            567     757     836     1096    14573  
 2935  96064   1    1        0      0.342939525843   833.039611816  20      0       5            1797    2404    2642    3442    1614   
 2957  96768   1    1        0      0.451366066933   772.403564453  20      1       5            2393    3227    3600    4839    19231  
 2999  98112   1    1        0      1.01887583733    781.0546875    20      0       1            6145    8231    9012    0       24214  
 3024  98912   1    1        0      0.975450634956   750.704162598  20      1       3            5806    0       8558    11409   21959  
 3031  99136   1    1        0      0.80077880621    685.990966797  20      0       5            4522    6041    6584    8622    13022  
 3047  99648   1    1        0      0.217467561364   798.394958496  20      1       2            1127    1514    0       2282    4931   
 3058  100000  1    1        0      0.29347500205    931.720153809  20      1       5            1518    2046    2285    3004    16531  
 3091  101056  1    1        0      0.737877130508   660.3125       20      1       5            4115    5497    6055    8087    1283   
 3165  103424  1    1        0      0.502106308937   935.841003418  20      0       5            2681    3574    3892    5103    9462   
 3165  103424  1    1        0      0.724818825722   580.042053223  20      0       3            4027    0       5864    7628    21005  
 3175  103744  1    1        0      0.574329733849   961.330444336  20      1       5            3099    4157    4556    6019    329    
 3195  104384  1    1        0      0.463730275631   794.073913574  20      1       5            2459    3267    3614    4821    15014  
 3196  104416  1    1        0      0.396110028028   914.736572266  20      1       5            2070    2763    3042    4054    7383   
 3231  105536  1    1        0      0.866778314114   664.71105957   20      1       5            4997    6746    7393    9876    17859  
 3232  105568  1    1        0      0.192195400596   994.785522461  20      0       2            981     1249    0       1704    7896   
 3237  105728  1    1        0      0.175107762218   927.522888184  20      0       5            907     1196    1302    1704    18787  
 3259  106432  1    1        0      0.695373117924   962.312805176  20      1       5            3841    5113    5644    7475    24114  
 3267  106688  1    1        0      0.824287652969   707.421142578  20      1       2            4703    6291    0       9183    19645  
 3316  108256  1    1        0      0.483237624168   655.974304199  20      0       5            2558    3373    3720    4856    23378  
 3320  108384  1    1        0      1.00762045383    820.127441406  20      1       5            6049    8110    8891    11762   8864   
 3334  108832  1    1        0      0.20900914073    677.499145508  20      0       5            1091    1434    1567    1993    21696  
 3352  109408  1    1        0      0.943677067757   592.563415527  20      1       5            5563    7437    8231    10846   24767  
 3353  109440  1    1        0      0.67437005043    855.642456055  20      0       5            3709    4954    5438    7156    641    
 3355  109504  1    1        0      0.32256898284    880.512634277  20      1       5            1672    2245    2457    3293    22617  
 3380  110304  1    1        0      0.537380754948   609.297424316  20      0       5            2871    3839    4210    5454    5324   
 3406  111136  1    1        0      0.289244502783   961.234008789  20      1       5            1489    2006    2218    2970    12106  
 3410  111264  1    1        0      0.978209137917   759.430664062  20      0       5            5821    7777    8482    11093   4680   
 3414  111392  1    1        0      0.187872096896   746.40032959   20      1       5            966     1302    1408    1908    3908   
 3420  111584  1    1        0      0.731376290321   630.489685059  20      0       5            4071    5423    5879    7594    6689   
 3422  111648  1    1        0      0.883906722069   841.783874512  20      0       5            5121    6849    7466    9757    14150  
 3428  111840  1    1        0      0.27275493741    750.720947266  20      0       5            1401    1874    2059    2630    15475  
 3433  112000  1    1        0      0.810918748379   703.174133301  20      0       5            4601    6173    6761    8877    12847  
 3458  112800  1    1        0      0.28114309907    871.921447754  20      0       5            1445    1953    2139    2800    9676   
 3467  113088  1    1        0      0.0369658172131  570.64642334   20      1       4            0       253     280     416     10737  
 3491  113856  1    1        0      0.411934137344   763.734802246  20      0       5            2165    2869    3134    4122    14276  
 3520  114784  1    1        0      0.435601115227   768.073242188  20      0       5            2297    3028    3320    4292    12926  
 3568  116320  1    1        0      0.427834659815   733.445922852  20      1       5            2261    3002    3320    4428    18791  
 3604  117472  1    1        0      0.809325456619   807.030029297  20      0       5            4593    6099    6643    8690    1529   
 3621  118016  1    1        0      0.365704923868   880.603393555  20      1       5            1907    2563    2816    3748    21841  
 3630  118304  1    1        0      0.891436994076   668.962768555  20      0       5            5173    6864    7466    9706    18860  
 3640  118624  1    1        0      0.635621607304   687.549926758  20      0       5            3478    4569    5007    6544    6178   
 3669  119552  1    1        0      0.179278224707   720.484863281  20      0       5            915     1196    1302    1636    22703  
 3677  119808  1    1        0      0.149426355958   703.201477051  20      0       5            761     995     1090    1432    19049  
 3685  120064  1    1        0      0.200606867671   656.084411621  20      0       5            1025    1355    1487    1976    15002  
 3691  120256  1    1        0      0.69228720665    661.187194824  20      0       5            3819    5073    5585    7390    15325  
 3691  120256  1    1        0      0.796654760838   1007.59625244  20      0       5            4511    5982    6526    8520    13755  
 3718  121120  1    1        0      0.128675177693   643.344421387  20      1       5            669     916     990     1330    22829  
 3729  121472  1    1        0      0.120139203966   1019.51647949  20      0       2            611     810     0       1096    24412  
 3751  122176  1    1        0      0.415697604418   961.132995605  20      0       5            2180    2922    3214    4224    20904  
 3756  122336  1    1        0      0.784762561321   854.697570801  20      0       2            4430    5908    0       8537    21578  
 3773  122880  1    1        0      0.396043539047   678.028442383  20      1       2            2085    2803    0       4190    11594  
 3784  123232  1    1        0      0.275273412466   884.741577148  20      0       5            1434    1927    2086    2732    953    
 3797  123648  1    1        0      0.234557539225   559.504699707  20      0       2            1215    1620    0       2282    11677  
 3806  123936  1    1        0      0.614743590355   862.405883789  20      0       4            0       4463    4927    6476    21945  
 3824  124512  1    1        0      0.33988314867    889.141296387  20      0       4            0       2377    2589    3259    20769  
 3826  124576  1    1        0      0.611490607262   782.133239746  20      1       4            0       4463    4927    6476    2219   
 3828  124640  1    1        0      0.272735238075   613.663696289  20      0       5            1415    1874    2059    2630    3741   
