 BCID  TDC     Tube_Number  Local Tube_Number  Tube_Layer  ChamberId  Station_Type  tube z   tube_rho  drift_radius  
 3232  104531  102          54                 1           2          2             -254843  148807    39            
 3232  104542  62           32                 7           2          0             -143433  82032     69            
 3232  104586  103          55                 2           2          2             -255804  149223    103           
 3232  104588  92           44                 5           2          1             -203939  117832    113           
 3232  104599  86           38                 0           2          1             -192406  110615    127           
 3232  104631  61           31                 5           2          0             -141511  81200     166           
 3232  104654  102          54                 0           2          2             -253881  148391    173           
 3232  104688  57           27                 0           2          0             -133822  76334     212           
 3232  104742  108          60                 5           2          2             -265415  155608    235           
 3232  104750  91           43                 4           2          1             -202978  117416    244           
 3232  104763  86           38                 1           2          1             -193367  111031    253           
 3232  104785  61           31                 4           2          0             -140550  80783     268           
 3232  104890  58           28                 1           2          0             -134783  76751     317           
 3232  104973  58           28                 3           2          0             -134783  77583     349           
 3232  105020  91           43                 3           2          1             -202017  117000    363           
 3232  105029  87           39                 2           2          1             -194328  111447    366           
 3232  105046  107          59                 4           2          2             -264454  155192    369           
 3232  105050  92           44                 4           2          1             -204900  117416    371           
 3232  105117  108          60                 3           2          2             -265415  154776    392           
 3232  105214  58           28                 2           2          0             -135744  77167     427           
 3232  105325  57           27                 2           2          0             -133822  77167     457           
 3592  116071  138          6                  6           5          0             -303694  81616     62            
 3592  116071  138          6                  6           5          0             -303694  81616     62            
 3592  116087  204          4                  2           5          1             -422729  111447    66            
 3592  116087  204          4                  2           5          1             -422729  111447    66            
 3592  116088  216          16                 3           5          1             -445796  117000    65            
 3592  116088  216          16                 3           5          1             -445796  117000    65            
 3592  116091  271          23                 1           5          2             -583093  148807    52            
 3592  116091  271          23                 1           5          2             -583093  148807    52            
 3592  116094  202          2                  0           5          1             -418885  110615    75            
 3592  116094  202          2                  0           5          1             -418885  110615    75            
 3592  116107  129          33                 2           4          0             -286156  77167     107           
 3592  116107  129          33                 2           4          0             -286156  77167     107           
 3592  116113  287          39                 5           5          2             -612888  155608    74            
 3592  116113  287          39                 5           5          2             -612888  155608    74            
 3592  116127  129          33                 1           4          0             -285194  76751     130           
 3592  116127  129          33                 1           4          0             -285194  76751     130           
 3592  116157  285          37                 3           5          2             -609043  154776    126           
 3592  116157  285          37                 3           5          2             -609043  154776    126           
 3592  116172  138          6                  7           5          0             -304655  82032     172           
 3592  116172  138          6                  7           5          0             -304655  82032     172           
 3592  116174  136          4                  4           5          0             -299849  80783     174           
 3592  116174  136          4                  4           5          0             -299849  80783     174           
 3592  116189  218          18                 5           5          1             -449641  117832    173           
 3592  116189  218          18                 5           5          1             -449641  117832    173           
 3592  116244  216          16                 4           5          1             -446757  117416    215           
 3592  116244  216          16                 4           5          1             -446757  117416    215           
 3592  116273  286          38                 4           5          2             -611927  155192    223           
 3592  116273  286          38                 4           5          2             -611927  155192    223           
 3592  116298  272          24                 2           5          2             -584054  149223    240           
 3592  116298  272          24                 2           5          2             -584054  149223    240           
 3592  116365  137          5                  5           5          0             -302733  81200     290           
 3592  116365  137          5                  5           5          0             -302733  81200     290           
 3592  116409  270          22                 0           5          2             -580210  148391    297           
 3592  116409  270          22                 0           5          2             -580210  148391    297           
 3592  116446  285          37                 4           5          2             -610004  155192    315           
 3592  116446  285          37                 4           5          2             -610004  155192    315           
 3592  116454  130          34                 3           4          0             -287117  77583     329           
 3592  116454  130          34                 3           4          0             -287117  77583     329           
 3592  116479  202          2                  1           5          1             -419846  111031    333           
 3592  116479  202          2                  1           5          1             -419846  111031    333           
 3592  116487  127          31                 0           4          0             -282311  76334     342           
 3592  116487  127          31                 0           4          0             -282311  76334     342           
 3592  116487  203          3                  1           5          1             -421768  111031    337           
 3592  116487  203          3                  1           5          1             -421768  111031    337           
 3592  116520  128          32                 0           4          0             -284233  76334     354           
 3592  116520  128          32                 0           4          0             -284233  76334     354           
