 BCID  ToA     TDC     Tube_Number  Local Tube_Number  Tube_Layer  ChamberId  Station_Type  tube z   tube_rho  drift_radius  
 2819  91980   91371   24           24                 3           2          0             -68214   77583     115           
 2819  91980   91371   38           38                 2           1          1             -98966   111447    102           
 2819  91985   91376   86           20                 3           3          0             -189805  77583     120           
 2819  91994   91385   131          11                 1           3          2             -311706  148807    108           
 2819  92001   91392   26           26                 6           2          0             -72059   81616     137           
 2819  92003   91394   25           25                 5           2          0             -71098   81200     139           
 2819  92004   91395   85           19                 2           3          0             -188844  77167     141           
 2819  92005   91396   46           46                 3           1          1             -114344  117000    134           
 2819  92009   91400   85           19                 1           3          0             -187883  76751     146           
 2819  92009   91400   125          21                 4           3          1             -269489  117416    133           
 2819  92014   91405   132          12                 2           3          2             -312667  149223    130           
 2819  92015   91406   91           25                 7           3          0             -200378  82032     150           
 2819  92023   91414   90           24                 5           3          0             -198455  81200     158           
 2819  92023   91414   91           25                 6           3          0             -199416  81616     158           
 2819  92026   91417   39           39                 0           1          2             -131608  148391    141           
 2819  92029   91420   90           24                 4           3          0             -197494  80783     164           
 2819  92030   91421   23           23                 2           2          0             -67253   77167     166           
 2819  92032   91423   84           18                 0           3          0             -186922  76334     168           
 2819  92048   91439   48           0                  3           2          1             -119360  117000    175           
 2819  92052   91443   135          15                 3           3          2             -318434  154776    167           
 2819  92061   91452   48           0                  4           2          1             -120322  117416    186           
 2819  92096   91487   120          16                 2           3          1             -258916  111447    209           
 2819  92108   91499   23           23                 0           2          0             -67253   76334     225           
 2819  92108   91499   39           39                 2           1          2             -131608  149223    210           
 2819  92197   91588   38           38                 0           1          1             -98966   110615    270           
 2819  92201   91592   52           4                  5           2          1             -127049  117832    270           
 2819  92206   91597   126          22                 5           3          1             -270450  117832    273           
 2819  92221   91612   48           0                  5           2          1             -119360  117832    283           
 2819  92278   91669   41           41                 3           1          1             -104732  117000    307           
 2819  92282   91673   42           42                 3           1          2             -137375  154776    303           
 2819  92313   91704   119          15                 1           3          1             -257955  111031    322           
 2819  92322   91713   136          16                 5           3          2             -320356  155608    321           
 2819  92344   91735   131          11                 0           3          2             -310745  148391    331           
 2819  92378   91769   40           40                 4           1          1             -103771  117416    346           
 2819  92381   91772   41           41                 4           1          2             -136413  155192    343           
 2819  92400   91791   47           47                 3           1          1             -116266  117000    356           
 2819  92448   91839   46           46                 5           1          1             -114344  117832    373           
 2819  92465   91856   50           2                  3           2          1             -123205  117000    379           
 2819  92489   91880   37           37                 1           1          1             -98004   111031    385           
 2819  92494   91885   46           46                 4           1          1             -115305  117416    388           
 2819  92528   91919   51           3                  3           2          1             -125127  117000    397           
 2819  92541   91932   47           47                 5           1          1             -116266  117832    403           
 2819  92568   91959   26           26                 7           2          0             -73020   82032     413           
 2819  92585   91976   25           25                 4           2          0             -70136   80783     418           
 2819  92652   92043   39           39                 1           1          2             -132569  148807    431           
 2819  92655   92046   119          15                 0           3          1             -256994  110615    435           
 2819  92657   92048   23           23                 1           2          0             -66292   76751     439           
 2819  92685   92076   49           1                  5           2          1             -121283  117832    445           
 2819  92694   92085   120          16                 0           3          1             -258916  110615    446           
 2819  92735   92126   49           1                  3           2          1             -121283  117000    458           
 3014  98121   97512   78           12                 0           3          0             -175388  76334     0             
 3014  98141   97532   79           13                 1           3          0             -176350  76751     25            
 3014  98143   97534   68           2                  0           3          0             -156166  76334     27            
 3014  98143   97534   117          13                 0           3          1             -253150  110615    15            
 3014  98153   97544   117          13                 1           3          1             -254111  111031    28            
 3014  98162   97553   79           13                 2           3          0             -177311  77167     49            
 3014  98169   97560   118          14                 2           3          1             -255072  111447    46            
 3014  98174   97565   21           21                 0           1          1             -66288   110615    49            
 3014  98176   97567   22           22                 5           1          2             -98930   155608    43            
 3014  98188   97579   23           23                 4           1          1             -71093   117416    63            
 3014  98188   97579   80           14                 3           3          0             -178272  77583     79            
 3014  98211   97602   11           11                 1           2          0             -43225   76751     105           
 3014  98215   97606   19           19                 0           1          2             -93163   148391    83            
 3014  98231   97622   12           12                 5           2          0             -46108   81200     126           
 3014  98244   97635   145          25                 0           3          2             -337656  148391    121           
 3014  98264   97655   145          25                 1           3          2             -338618  148807    142           
 3014  98274   97665   153          33                 5           3          2             -353034  155608    150           
 3014  98275   97666   146          26                 2           3          2             -339579  149223    153           
 3014  98289   97680   84           18                 4           3          0             -185961  80783     183           
 3014  98290   97681   152          32                 4           3          2             -352073  155192    166           
 3014  98306   97697   84           18                 5           3          0             -186922  81200     197           
 3014  98307   97698   85           19                 6           3          0             -187883  81616     197           
 3014  98310   97701   21           21                 4           1          2             -97969   155192    180           
 3014  98315   97706   152          32                 3           3          2             -351112  154776    187           
 3014  98321   97712   85           19                 7           3          0             -188844  82032     207           
 3014  98359   97750   13           13                 6           2          0             -47070   81616     231           
 3014  98363   97754   11           11                 2           2          0             -44186   77167     234           
 3014  98382   97773   21           21                 2           1          1             -66288   111447    239           
 3014  98402   97793   19           19                 1           1          2             -94124   148807    244           
 3014  98408   97799   118          14                 0           3          1             -255072  110615    255           
 3014  98425   97816   23           23                 3           1          1             -70132   117000    262           
 3014  98611   98002   125          21                 5           3          1             -268528  117832    345           
 3014  98658   98049   124          20                 4           3          1             -267566  117416    362           
 3014  98677   98068   11           11                 3           2          0             -43225   77583     372           
 3014  98688   98079   124          20                 3           3          1             -266605  117000    372           
 3014  98714   98105   21           21                 1           1          1             -67249   111031    381           
 3014  98721   98112   12           12                 7           2          0             -46108   82032     386           
 3014  98729   98120   19           19                 2           1          2             -93163   149223    382           
 3014  98736   98127   170          10                 5           4          1             -356183  117832    386           
 3014  98777   98168   24           24                 5           1          1             -72054   117832    400           
 3014  98856   98247   169          9                  5           4          1             -354261  117832    423           
 3014  98927   98318   10           10                 0           2          0             -42264   76334     447           
 3014  98955   98346   12           12                 4           2          0             -45147   80783     455           
 3014  98958   98349   22           22                 3           1          2             -98930   154776    449           
 3063  99693   99084   25           25                 3           2          0             -70136   77583     4             
 3063  99694   99085   27           27                 2           2          0             -74942   77167     6             
 3063  99696   99087   41           11                 0           2          0             -103066  76334     7             
